unicode,character,courier normal,courier bold,courier italic,courier bold-italic,helvetica normal,helvetica bold,helvetica italic,helvetica bold-italic,times normal,times bold,times italic,times bold-italic
231,"ç",0.600,0.600,0.600,0.600,0.500,0.556,0.500,0.556,0.444,0.444,0.444,0.444
232,"è",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.444,0.444,0.444
233,"é",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.444,0.444,0.444
234,"ê",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.444,0.444,0.444
235,"ë",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.444,0.444,0.444
236,"ì",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278
237,"í",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278
238,"î",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278
239,"ï",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278
240,"ð",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.500,0.500,0.500
241,"ñ",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.556,0.500,0.556
242,"ò",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.500,0.500,0.500
243,"ó",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.500,0.500,0.500
244,"ô",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.500,0.500,0.500
245,"õ",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.500,0.500,0.500
246,"ö",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.500,0.500,0.500
247,"÷",0.600,0.600,0.600,0.600,0.549,0.549,0.549,0.549,0.549,0.549,0.549,0.549
248,"ø",0.600,0.600,0.600,0.600,0.611,0.611,0.611,0.611,0.500,0.500,0.500,0.500
249,"ù",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.556,0.500,0.556
250,"ú",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.556,0.500,0.556
251,"û",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.556,0.500,0.556
252,"ü",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.556,0.500,0.556
253,"ý",0.600,0.600,0.600,0.600,0.500,0.556,0.500,0.556,0.500,0.500,0.444,0.444
254,"þ",0.600,0.600,0.600,0.600,0.556,0.611,0.556,0.611,0.500,0.556,0.500,0.500
255,"ÿ",0.600,0.600,0.600,0.600,0.500,0.556,0.500,0.556,0.500,0.500,0.444,0.444
